S3,458992.071,4197489.933,100.000
S2,458984.861,4197492.800,100.000
S4,459012.155,4197478.996,100.000
T1,458977.605,4197489.064,100.000
S1,458980.175,4197485.979,100.000
S21,458989.687,4197477.029,100.000
S22,458988.778,4197468.578,100.000
S23,458979.720,4197465.120,100.000
P200,458990.031,4197476.482,104.260
P201,458989.527,4197474.888,104.486
P202,458989.528,4197474.945,104.487
P203,458989.323,4197475.011,104.488
P204,458990.387,4197475.770,104.952
P205,458990.119,4197476.279,104.275
P206,458992.177,4197475.832,104.233
P207,458991.920,4197475.719,104.251
P208,458992.227,4197475.638,104.507
P209,458989.935,4197473.827,104.568
P210,458993.652,4197472.802,104.937
P211,458994.353,4197472.658,104.841
P212,458993.858,4197473.021,105.567
P213,458994.092,4197472.607,105.561
P214,458995.996,4197474.631,104.484
P215,458996.221,4197474.686,104.460
P216,458995.625,4197473.702,104.925
P217,458999.947,4197473.392,104.812
P218,459000.163,4197473.608,104.247
P219,458994.764,4197473.072,107.016
P220,458996.180,4197474.553,104.796
P221,458998.012,4197474.029,104.877
P222,458999.802,4197473.499,104.966
P223,458999.295,4197471.646,105.961
P224,458995.524,4197470.854,107.201
P225,459002.178,4197472.634,104.707
P226,459002.054,4197472.635,105.773
P227,459000.847,4197472.449,104.551
P228,459000.763,4197472.668,105.285
P229,459000.044,4197472.835,105.213
P230,458999.941,4197472.449,105.187
P231,459000.660,4197472.300,105.277
P232,459000.570,4197471.939,105.477
P233,458999.773,4197472.182,105.412
P234,459001.194,4197471.035,106.045
P235,459000.466,4197471.575,105.941
P236,459000.365,4197471.207,106.070
P237,459000.008,4197471.528,106.011
P238,459003.879,4197471.251,106.630
P239,459001.570,4197471.368,106.334
P240,459000.271,4197469.796,107.263
P241,458996.995,4197468.561,106.852
P242,458989.686,4197475.740,103.395
P243,458988.055,4197476.192,103.312
P244,458987.968,4197475.923,103.578
P245,458987.960,4197475.853,103.503
P246,458989.525,4197475.438,103.544
P247,458989.394,4197475.171,103.721
P248,458987.906,4197475.577,103.687
P249,458987.640,4197474.517,103.802
P250,458989.081,4197474.127,103.820
P251,458988.904,4197473.666,103.938
P252,458987.546,4197474.060,103.929
P253,458987.590,4197474.250,103.958
P254,458987.548,4197474.061,103.929
P255,458988.944,4197473.664,103.957
P256,458988.893,4197473.406,104.125
P257,458987.489,4197473.797,104.103
P258,458987.412,4197473.536,104.295
P259,458988.819,4197473.141,104.305
P260,458988.558,4197473.211,104.485
P261,458988.276,4197473.018,104.502
P262,458987.314,4197473.289,104.496
P263,458987.213,4197473.001,104.656
P264,458988.631,4197472.614,104.660
P265,458988.472,4197472.135,104.801
P266,458988.697,4197472.577,104.957
P267,458988.145,4197472.061,104.791
P268,458987.941,4197471.243,104.855
P269,458988.325,4197471.155,105.084
P270,458988.409,4197471.134,105.243
P271,458985.659,4197471.891,107.470
P272,458986.133,4197473.786,107.125
P273,458981.405,4197475.176,107.091
P274,458974.170,4197476.246,107.145
P275,458974.208,4197476.382,107.080
P276,458974.090,4197476.421,106.899
P277,458978.751,4197479.012,102.921
P278,458978.433,4197479.185,103.146
P279,458984.910,4197476.793,103.560
P280,458983.363,4197477.320,103.529
P281,458988.811,4197472.580,105.750
P282,458986.881,4197473.091,105.831
P283,458987.555,4197475.277,105.856
P284,458985.778,4197475.841,106.494
P285,458983.951,4197476.401,106.725
P286,458982.154,4197476.950,106.725
P287,458980.365,4197477.513,106.816
P288,458978.560,4197478.068,106.592
P289,458976.737,4197478.660,106.693
P290,458974.922,4197479.178,105.475
P291,458974.106,4197479.416,105.529
P292,458988.418,4197471.194,108.031
P293,458987.792,4197469.220,108.099
P294,458980.708,4197471.160,109.879
P295,458979.521,4197467.843,108.886
P296,458980.738,4197468.847,108.788
P297,458980.205,4197466.869,108.543
P298,458978.335,4197467.330,108.757
P299,458989.743,4197470.968,107.422
P300,458998.531,4197469.915,108.386
P301,458994.264,4197471.211,108.297
P302,458995.088,4197470.813,107.670
P303,458995.308,4197470.773,107.656
P304,458995.,459,4197469.338,107.074
P305,458995.650,4197469.360,107.062
P306,458994.290,4197468.499,107.395
P307,458996.056,4197468.514,107.122
P308,458996.062,4197468.347,107.,458
P309,458989.929,4197465.774,108.073
P310,458986.991,4197464.449,108.033
P311,458985.552,4197464.274,109.945
P312,458986.140,4197467.146,107.566
P313,458984.503,4197466.675,107.768
P314,458994.173,4197468.514,106.633
P315,458991.247,4197468.551,107.338
P316,458992.643,4197467.126,107.362
P317,458990.523,4197467.185,107.725
P318,458992.136,4197468.154,107.911
P319,458993.427,4197468.939,107.177
P320,458994.847,4197468.025,108.291
P321,458994.420,4197470.998,107.513
P322,458994.183,4197470.302,107.386
P323,458989.904,4197471.473,107.070
P324,458990.053,4197472.114,108.364
P325,458997.900,4197469.011,108.502
P326,458997.857,4197470.137,108.470
P327,458982.725,4197465.896,108.399
P328,458978.211,4197463.028,109.495
P329,458979.479,4197461.910,109.772
P330,458983.381,4197467.339,107.617
P331,458980.733,4197468.150,109.025
P332,458980.034,4197466.774,108.791
P333,458980.472,4197465.659,108.696
