T1,458977.600,4197489.108,103.319
S1,458980.172,4197486.043,107.000
S2,458984.811,4197492.902,100.000
S3,458992.051,4197490.103,100.380
S4,459012.234,4197479.378,101.978
S20,458977.046,4197485.154,102.947
P71,458997.163,4197481.443,101.659
P72,458997.522,4197481.410,101.647
P73,458999.423,4197482.462,101.526
P74,458999.279,4197482.750,101.509
P75,459000.501,4197482.924,101.518
P76,459004.828,4197481.424,101.761
P77,459008.340,4197480.581,101.928
P78,459009.137,4197480.544,101.759
P79,459008.204,4197477.222,104.432
P80,459007.853,4197476.742,103.686
P81,459007.648,4197477.088,102.991
P82,458998.191,4197480.984,102.916
P83,458999.443,4197481.936,102.294
P84,459000.009,4197481.877,102.178
P85,459000.335,4197481.255,102.492
P86,458999.472,4197480.739,103.093
P87,458999.875,4197480.319,103.022
P88,459000.140,4197481.028,103.042
P89,458999.891,4197481.700,102.272
P90,458998.780,4197481.821,102.760
P91,458998.333,4197480.928,102.913
P92,458986.025,4197484.543,102.987
P93,458988.328,4197483.259,102.912
P94,458991.286,4197482.269,102.151
P95,458990.180,4197482.399,102.146
P96,458989.834,4197480.854,102.395
P97,458991.305,4197480.639,102.369
P98,458989.810,4197480.523,102.547
P99,458991.278,4197480.287,102.542
P100,458989.957,4197480.046,102.682
P101,458989.547,4197480.315,105.449
P102,458989.412,4197479.661,105.690
P103,458989.865,4197479.669,105.650
P104,458990.965,4197479.720,103.947
P105,458991.408,4197479.723,105.595
P106,458991.366,4197479.298,105.751
P107,458990.862,4197479.284,105.773
P108,458989.840,4197481.421,105.024
P109,458989.531,4197481.564,105.141
P110,458989.558,4197481.641,105.111
P111,458989.735,4197480.737,105.376
P112,458989.515,4197480.530,105.404
P113,458989.934,4197479.890,102.751
P114,458990.896,4197479.200,102.884
P115,458989.904,4197479.314,102.885
P116,458989.845,4197478.791,103.053
P117,458990.845,4197478.655,103.065
P118,458990.795,4197478.194,103.241
P119,458989.755,4197478.366,103.240
P120,458989.711,4197478.041,103.405
P121,458990.743,4197477.797,103.416
P122,458989.733,4197478.420,104.133
P123,458989.366,4197478.570,105.610
P124,458989.281,4197478.054,105.640
P125,458989.655,4197477.999,104.225
P126,458990.723,4197477.779,105.730
P127,458989.032,4197472.713,107.457
P128,458989.032,4197472.714,107.457
P129,458985.260,4197481.211,103.513
P130,458984.835,4197481.340,103.538
P131,458980.825,4197482.161,103.570
P132,458980.424,4197482.244,103.606
P133,458980.755,4197481.780,103.656
P134,458985.153,4197480.790,103.633
P135,458983.463,4197477.550,103.724
P136,458993.150,4197481.243,103.260
P137,458995.687,4197480.309,103.508
P138,458997.890,4197479.287,105.285
P139,458991.402,4197479.613,105.613
P140,458991.654,4197480.633,105.251
P141,458997.104,4197478.428,103.743
P142,459007.232,4197473.105,103.664
P143,459007.294,4197473.347,103.653
P144,459004.632,4197474.396,103.948
P145,459004.556,4197474.174,103.970
P146,459004.574,4197474.064,104.456
P147,459002.900,4197474.907,105.798
P148,459001.981,4197476.740,103.731
P149,459002.895,4197478.391,103.505
P150,459001.923,4197476.819,103.278
P151,459002.767,4197478.440,103.491
P152,459002.617,4197478.058,103.623
P153,459001.604,4197475.777,104.534
P154,459001.575,4197475.631,104.412
P155,459001.420,4197475.064,104.953
P156,459001.253,4197475.044,104.976
P157,459000.353,4197473.804,104.751
P158,458997.829,4197474.502,104.952
P159,459004.231,4197472.996,104.752
